Date,EPS
2020-12-31,$1.39
2020-09-30,$1.45
2020-06-30,$1.86
2020-03-31,$1.62
2019-12-31,$1.36
2019-09-30,$1.42
2019-06-30,$1.42
2019-03-31,$1.18
2018-12-31,$1.02
2018-09-30,$1.87
2018-06-30,$1.88
2018-03-31,$1.62
2017-12-31,$0.85
2017-09-30,$1.66
2017-06-30,$1.53
2017-03-31,$1.15
2016-12-31,$1.42
2016-09-30,$1.29
2016-06-30,$1.47
2016-03-31,$0.79
2015-12-31,$1.34
2015-09-30,$1.31
2015-06-30,$0.93
2015-03-31,$0.89
2014-12-31,$1.08
2014-09-30,$1.26
2014-06-30,$1.38
2014-03-31,$0.81
2013-12-31,$1.04
2013-09-30,$1.17
2013-06-30,$1.24
2013-03-31,$0.98
2012-12-31,$1.01
2012-09-30,$1.36
2012-06-30,$0.98
2012-03-31,$0.85
2011-12-31,$0.76
2011-09-30,$1.10
2011-06-30,$1.00
2011-03-31,$0.93
2010-12-31,$0.15
2010-09-30,$1.08
2010-06-30,$0.87
2010-03-31,$0.99
2009-12-31,$1.16
2009-09-30,$0.66
2009-06-30,$-7.16
2009-03-31,$1.02
2008-12-31,$0.51
2008-09-30,$1.09
2008-06-30,$1.35
2008-03-31,$1.35
2007-12-31,$0.54
2007-09-30,$0.91
2007-06-30,$1.07
2007-03-31,$0.93
2006-12-31,$0.91
2006-09-30,$0.83
2006-06-30,$0.68
2006-03-31,$0.87
2005-12-31,$0.74
2005-09-30,$0.43
2005-06-30,$0.66
2005-03-31,$0.67
