State Street Price/Book Ratio Historical Data,State Street Price/Book Ratio Historical Data,State Street Price/Book Ratio Historical Data,State Street Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,86.47,,1.17
2020-12-31,72.33,$74.19,0.97
2020-09-30,58.55,$72.44,0.81
2020-06-30,62.17,$70.59,0.88
2020-03-31,51.69,$67.80,0.76
2019-12-31,76.01,$68.36,1.11
2019-09-30,56.5,$69.33,0.82
2019-06-30,53.05,$68.32,0.78
2019-03-31,61.76,$66.46,0.93
2018-12-31,58.77,$65.11,0.9
2018-09-30,78.07,$64.70,1.21
2018-06-30,86.26,$61.70,1.4
2018-03-31,91.99,$61.30,1.5
2017-12-31,89.66,$60.70,1.48
2017-09-30,87.38,$60.66,1.44
2017-06-30,81.71,$58.99,1.39
2017-03-31,72.19,$56.58,1.28
2016-12-31,70.14,$55.56,1.26
2016-09-30,62.53,$57.53,1.09
2016-06-30,48.16,$56.73,0.85
2016-03-31,51.93,$54.42,0.95
2015-12-31,58.55,$52.88,1.11
2015-09-30,58.99,$53.32,1.11
2015-06-30,67.24,$52.73,1.28
2015-03-31,63.93,$50.62,1.26
2014-12-31,67.97,$51.37,1.32
2014-09-30,63.5,$50.38,1.26
2014-06-30,57.79,$51.06,1.13
2014-03-31,59.49,$49.42,1.2
2013-12-31,62.54,$46.94,1.33
2013-09-30,55.83,$46.30,1.21
2013-06-30,55.15,$44.78,1.23
2013-03-31,49.78,$45.81,1.09
2012-12-31,39.43,$45.50,0.87
2012-09-30,35.01,$44.26,0.79
2012-06-30,37.04,$41.55,0.89
2012-03-31,37.54,$41.17,0.91
2011-12-31,33.08,$39.80,0.83
2011-09-30,26.28,$39.85,0.66
2011-06-30,36.64,$39.76,0.92
2011-03-31,36.38,$38.09,0.96
2010-12-31,37.36,$35.46,1.05
2010-09-30,30.36,$35.03,0.87
2010-06-30,27.25,$32.03,0.85
2010-03-31,36.36,$30.74,1.18
2009-12-31,35.07,$29.28,1.2
2009-09-30,42.35,$27.19,1.56
2009-06-30,38.0,$24.50,1.55
2009-03-31,24.77,$31.90,0.78
2008-12-31,31.65,$29.60,1.07
2008-09-30,45.48,$30.27,1.5
2008-06-30,50.88,$32.55,1.56
2008-03-31,62.58,$27.69,2.26
2007-12-31,64.14,$29.25,2.19
2007-09-30,53.69,$29.24,1.84
2007-06-30,53.7,$23.01,2.33
2007-03-31,50.67,$22.24,2.28
2006-12-31,52.61,$21.81,2.41
2006-09-30,48.53,$21.19,2.29
2006-06-30,45.03,$19.57,2.3
2006-03-31,46.69,$19.29,2.42
