Date,EPS
2020-12-31,$1.24
2020-09-30,$0.52
2020-06-30,$0.06
2020-03-31,$0.45
2019-12-31,$1.16
2019-09-30,$1.60
2019-06-30,$1.24
2019-03-31,$1.56
2018-12-31,$1.08
2018-09-30,$0.91
2018-06-30,$0.92
2018-03-31,$0.83
2017-12-31,$0.50
2017-09-30,$0.70
2017-06-30,$0.61
2017-03-31,$0.61
2016-12-31,$0.70
2016-09-30,$0.73
2016-06-30,$0.58
2016-03-31,$0.70
2015-12-31,$0.65
2015-09-30,$0.69
2015-06-30,$0.65
2015-03-31,$0.66
2014-12-31,$0.62
2014-09-30,$0.70
2014-06-30,$0.67
2014-03-31,$0.79
2013-12-31,$0.63
2013-09-30,$0.91
2013-06-30,$0.76
2013-03-31,$0.00
2012-12-31,$0.00
2011-12-31,$0.00
