TCF Financial Price/Book Ratio Historical Data,TCF Financial Price/Book Ratio Historical Data,TCF Financial Price/Book Ratio Historical Data,TCF Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,48.12,,1.29
2020-12-31,36.71,$37.29,0.98
2020-09-30,22.91,$37.13,0.62
2020-06-30,28.5,$37.17,0.77
2020-03-31,21.63,$37.16,0.58
2019-12-31,44.31,$37.44,1.18
2019-09-30,35.75,$37.07,0.96
2019-06-30,38.24,$41.27,0.93
2019-03-31,37.95,$40.50,0.94
2018-12-31,33.51,$30.69,1.09
2018-09-30,48.5,$39.04,1.24
2018-06-30,50.26,$38.52,1.3
2018-03-31,49.12,$37.89,1.3
2017-12-31,47.79,$37.48,1.28
2017-09-30,46.48,$37.57,1.24
2017-06-30,42.79,$37.11,1.15
2017-03-31,44.94,$36.56,1.23
2016-12-31,47.36,$36.57,1.3
2016-09-30,38.38,$36.37,1.06
2016-06-30,32.25,$27.45,1.17
2016-03-31,30.66,$26.99,1.14
2015-12-31,29.23,$26.62,1.1
2015-09-30,27.39,$26.18,1.05
2015-06-30,27.76,$25.74,1.08
2015-03-31,26.13,$24.68,1.06
2014-12-31,25.33,$24.32,1.04
2014-09-30,22.04,$24.47,0.9
2014-06-30,22.83,$24.22,0.94
2014-03-31,26.17,$23.63,1.11
2013-12-31,25.35,$23.38,1.08
2013-09-30,22.18,$22.61,0.98
2013-06-30,20.48,$22.14,0.93
2013-03-31,20.62,$21.97,0.94
2012-12-31,18.41,$21.69,0.85
2012-09-30,18.57,$21.75,0.85
2012-06-30,16.35,$21.42,0.76
2012-03-31,17.65,$21.10,0.84
2011-12-31,15.91,$20.82,0.76
2011-09-30,11.32,$21.02,0.54
2011-06-30,13.71,$20.78,0.66
2011-03-31,14.41,$20.54,0.7
2010-12-31,15.85,$20.41,0.78
2010-09-30,14.64,$20.44,0.72
2010-06-30,15.29,$20.27,0.75
2010-03-31,16.44,$19.76,0.83
2009-12-31,16.26,$19.85,0.82
2009-09-30,14.84,$20.06,0.74
2009-06-30,13.36,$20.23,0.66
2009-03-31,13.76,$20.40,0.67
2008-12-31,18.11,$20.58,0.88
2008-09-30,19.97,$21.19,0.94
2008-06-30,12.95,$21.58,0.6
2008-03-31,14.95,$21.60,0.69
2007-12-31,14.74,$21.35,0.69
2007-09-30,14.86,$21.04,0.71
2007-06-30,15.68,$20.79,0.75
2007-03-31,17.86,$20.86,0.86
2006-12-31,19.77,$20.46,0.97
2006-09-30,17.48,$20.70,0.84
2006-06-30,17.85,$20.32,0.88
2006-03-31,18.67,$20.28,0.92
