Truist Financial Debt/Equity Ratio Historical Data,Truist Financial Debt/Equity Ratio Historical Data,Truist Financial Debt/Equity Ratio Historical Data,Truist Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$438.32B,$70.91B,6.18
2020-09-30,$429.21B,$69.97B,6.13
2020-06-30,$435.45B,$68.88B,6.32
2020-03-31,$440.17B,$66.06B,6.66
2019-12-31,$406.52B,$66.56B,6.11
2019-09-30,$204.45B,$32.30B,6.33
2019-06-30,$199.11B,$31.76B,6.27
2019-03-31,$196.80B,$30.88B,6.37
2018-12-31,$195.52B,$30.18B,6.48
2018-09-30,$192.88B,$30.01B,6.43
2018-06-30,$192.85B,$29.83B,6.47
2018-03-31,$191.07B,$29.66B,6.44
2017-12-31,$191.95B,$29.70B,6.46
2017-09-30,$190.49B,$29.85B,6.38
2017-06-30,$190.84B,$30.35B,6.29
2017-03-31,$190.48B,$30.03B,6.34
2016-12-31,$189.35B,$29.93B,6.33
2016-09-30,$192.53B,$30.09B,6.4
2016-06-30,$192.12B,$29.74B,6.46
2016-03-31,$184.17B,$28.24B,6.52
2015-12-31,$182.61B,$27.34B,6.68
2015-09-30,$181.55B,$27.26B,6.66
2015-06-30,$165.89B,$25.13B,6.6
2015-03-31,$164.49B,$24.74B,6.65
2014-12-31,$162.46B,$24.38B,6.66
2014-09-30,$162.71B,$24.31B,6.69
2014-06-30,$164.05B,$23.97B,6.85
2014-03-31,$161.10B,$23.56B,6.84
2013-12-31,$160.20B,$22.81B,7.02
2013-09-30,$158.96B,$22.09B,7.2
2013-06-30,$160.74B,$22.00B,7.31
2013-03-31,$159.61B,$21.23B,7.52
2012-12-31,$163.28B,$21.22B,7.69
2012-09-30,$161.49B,$20.53B,7.87
2012-06-30,$159.60B,$18.93B,8.43
2012-03-31,$156.87B,$17.88B,8.77
2011-12-31,$157.10B,$17.48B,8.99
2011-09-30,$150.14B,$17.54B,8.56
2011-06-30,$142.26B,$17.05B,8.34
2011-03-31,$140.37B,$16.67B,8.42
2010-12-31,$140.58B,$16.50B,8.52
2010-09-30,$140.44B,$16.79B,8.37
2010-06-30,$138.34B,$16.74B,8.26
2010-03-31,$147.17B,$16.53B,8.9
2009-12-31,$149.52B,$16.24B,9.21
2009-09-30,$149.19B,$16.14B,9.24
2009-06-30,$137.61B,$14.79B,9.3
2009-03-31,$127.24B,$16.18B,7.86
2008-12-31,$135.93B,$16.08B,8.45
2008-09-30,$124.11B,$12.94B,9.6
2008-06-30,$123.67B,$12.80B,9.66
2008-03-31,$123.58B,$12.84B,9.62
2007-12-31,$119.99B,$12.63B,9.5
2007-09-30,$118.38B,$12.40B,9.55
2007-06-30,$115.45B,$12.13B,9.52
2007-03-31,$110.04B,$11.65B,9.45
2006-12-31,$109.61B,$11.75B,9.33
2006-09-30,$106.79B,$11.73B,9.1
2006-06-30,$105.12B,$11.16B,9.42
2006-03-31,$99.06B,$10.97B,9.03
2005-12-31,$98.04B,$11.13B,8.81
2005-09-30,$95.88B,$11.20B,8.56
2005-06-30,$94.75B,$11.09B,8.54
2005-03-31,$91.19B,$10.83B,8.42
