Truist Financial ROA - Return on Assets Historical Data,Truist Financial ROA - Return on Assets Historical Data,Truist Financial ROA - Return on Assets Historical Data,Truist Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$4.18B,$509.23B,0.83%
2020-09-30,$3.66B,$499.18B,0.74%
2020-06-30,$3.33B,$504.34B,0.77%
2020-03-31,$3.27B,$506.23B,0.90%
2019-12-31,$3.03B,$473.08B,1.04%
2019-09-30,$3.08B,$236.75B,1.34%
2019-06-30,$3.13B,$230.87B,1.38%
2019-03-31,$3.07B,$227.68B,1.36%
2018-12-31,$3.06B,$225.70B,1.37%
2018-09-30,$2.92B,$222.89B,1.32%
2018-06-30,$2.73B,$222.68B,1.23%
2018-03-31,$2.59B,$220.73B,1.17%
2017-12-31,$2.22B,$221.64B,1.00%
2017-09-30,$2.20B,$220.34B,1.00%
2017-06-30,$2.20B,$221.19B,1.00%
2017-03-31,$2.11B,$220.50B,0.95%
2016-12-31,$2.26B,$219.28B,1.03%
2016-09-30,$2.17B,$222.62B,1.00%
2016-06-30,$2.06B,$221.86B,0.97%
2016-03-31,$1.98B,$212.41B,0.96%
2015-12-31,$1.94B,$209.95B,0.97%
2015-09-30,$1.99B,$208.81B,1.02%
2015-06-30,$2.01B,$191.02B,1.06%
2015-03-31,$1.98B,$189.23B,1.05%
2014-12-31,$1.98B,$186.83B,1.06%
2014-09-30,$1.97B,$187.02B,1.06%
2014-06-30,$1.73B,$188.01B,0.94%
2014-03-31,$1.85B,$184.65B,1.01%
2013-12-31,$1.56B,$183.01B,0.86%
2013-09-30,$1.53B,$181.05B,0.84%
2013-06-30,$1.73B,$182.74B,0.95%
2013-03-31,$1.70B,$180.84B,0.93%
2012-12-31,$1.92B,$184.50B,1.06%
2012-09-30,$1.80B,$182.02B,1.01%
2012-06-30,$1.70B,$178.53B,0.98%
2012-03-31,$1.50B,$174.75B,0.88%
2011-12-31,$1.29B,$174.58B,0.78%
2011-09-30,$1.11B,$167.68B,0.69%
2011-06-30,$0.95B,$159.31B,0.60%
2011-03-31,$0.85B,$157.04B,0.54%
2010-12-31,$0.82B,$157.08B,0.52%
2010-09-30,$0.79B,$157.23B,0.49%
2010-06-30,$0.74B,$155.08B,0.45%
2010-03-31,$0.65B,$163.70B,0.40%
2009-12-31,$0.73B,$165.76B,0.47%
2009-09-30,$0.83B,$165.33B,0.54%
2009-06-30,$1.03B,$152.40B,0.71%
2009-03-31,$1.34B,$143.43B,0.94%
2008-12-31,$1.50B,$152.02B,1.07%
2008-09-30,$1.63B,$137.04B,1.20%
2008-06-30,$1.71B,$136.47B,1.28%
2008-03-31,$1.74B,$136.42B,1.32%
2007-12-31,$1.73B,$132.62B,1.35%
2007-09-30,$1.57B,$130.78B,1.26%
2007-06-30,$1.55B,$127.58B,1.27%
2007-03-31,$1.52B,$121.69B,1.27%
2006-12-31,$1.53B,$121.35B,1.31%
2006-09-30,$1.71B,$118.52B,1.50%
2006-06-30,$1.73B,$116.28B,1.57%
2006-03-31,$1.69B,$110.03B,1.56%
2005-12-31,$1.65B,$109.17B,1.56%
