Date,Shares
2020-12-31,1358
2020-09-30,1358
2020-06-30,1356
2020-03-31,1358
2019-12-31,815
2019-09-30,776
2019-06-30,775
2019-03-31,774
2018-12-31,783
2018-09-30,782
2018-06-30,786
2018-03-31,791
2017-12-31,811
2017-09-30,806
2017-06-30,819
2017-03-31,823
2016-12-31,815
2016-09-30,823
2016-06-30,824
2016-03-31,790
2015-12-31,758
2015-09-30,774
2015-06-30,735
2015-03-31,732
2014-12-31,728
2014-09-30,730
2014-06-30,728
2014-03-31,724
2013-12-31,714
2013-09-30,716
2013-06-30,713
2013-03-31,711
2012-12-31,709
2012-09-30,710
2012-06-30,708
2012-03-31,707
2011-12-31,705
2011-09-30,706
2011-06-30,705
2011-03-31,704
2010-12-31,701
2010-09-30,702
2010-06-30,701
2010-03-31,699
2009-12-31,636
2009-09-30,672
2009-06-30,609
2009-03-31,564
2008-12-31,552
2008-09-30,554
2008-06-30,550
2008-03-31,549
2007-12-31,552
2007-09-30,555
2007-06-30,554
2007-03-31,547
2006-12-31,544
2006-09-30,544
2006-06-30,542
2006-03-31,543
2005-12-31,551
2005-09-30,552
2005-06-30,551
2005-03-31,554
