Date,EPS
2020-12-31,$4.32
2020-09-30,$3.13
2020-06-30,$3.01
2020-03-31,$-1.04
2019-12-31,$2.74
2019-09-30,$2.96
2019-06-30,$1.79
2019-03-31,$2.97
2018-12-31,$2.88
2018-09-30,$2.33
2018-06-30,$2.31
2018-03-31,$1.57
2017-12-31,$1.19
2017-09-30,$0.26
2017-06-30,$1.83
2017-03-31,$1.05
2016-12-31,$-0.32
2016-09-30,$2.06
2016-06-30,$0.05
2016-03-31,$1.80
2015-12-31,$1.76
2015-09-30,$1.74
2015-06-30,$2.68
2015-03-31,$1.22
2014-12-31,$2.00
2014-09-30,$1.22
2014-06-30,$1.84
2014-03-31,$1.22
2013-12-31,$1.57
2013-09-30,$1.37
2013-06-30,$1.19
2013-03-31,$1.46
2012-12-31,$-1.21
2012-09-30,$0.89
2012-06-30,$0.46
2012-03-31,$1.09
2011-12-31,$1.09
2011-09-30,$-0.22
2011-06-30,$-0.71
2011-03-31,$0.64
2010-12-31,$1.20
2010-09-30,$1.15
2010-06-30,$0.05
2010-03-31,$0.87
2009-12-31,$1.14
2009-09-30,$0.97
2009-06-30,$1.25
2009-03-31,$0.50
2008-12-31,$0.69
2008-09-30,$-1.21
2008-06-30,$-0.20
2008-03-31,$1.12
2007-12-31,$1.44
2007-09-30,$1.03
2007-06-30,$1.14
2007-03-31,$1.22
2006-12-31,$0.88
2006-09-30,$0.65
2006-06-30,$0.99
2006-03-31,$0.75
2005-12-31,$2.29
2005-09-30,$-10.51
2005-06-30,$1.34
2005-03-31,$0.86
