Hanover Insurance ROA - Return on Assets Historical Data,Hanover Insurance ROA - Return on Assets Historical Data,Hanover Insurance ROA - Return on Assets Historical Data,Hanover Insurance ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.36B,$13.44B,2.76%
2020-09-30,$0.30B,$13.39B,2.38%
2020-06-30,$0.30B,$12.84B,2.42%
2020-03-31,$0.26B,$12.28B,2.12%
2019-12-31,$0.43B,$12.49B,3.45%
2019-09-30,$0.44B,$12.63B,3.57%
2019-06-30,$0.42B,$12.16B,3.22%
2019-03-31,$0.45B,$11.98B,3.21%
2018-12-31,$0.39B,$12.40B,2.66%
2018-09-30,$0.32B,$15.62B,2.06%
2018-06-30,$0.23B,$15.40B,1.49%
2018-03-31,$0.21B,$15.33B,1.37%
2017-12-31,$0.19B,$15.47B,1.24%
2017-09-30,$0.12B,$15.39B,0.82%
2017-06-30,$0.20B,$14.79B,1.36%
2017-03-31,$0.12B,$14.49B,0.85%
2016-12-31,$0.15B,$14.22B,1.08%
2016-09-30,$0.25B,$14.36B,1.75%
2016-06-30,$0.24B,$14.16B,1.69%
2016-03-31,$0.36B,$14.03B,2.54%
2015-12-31,$0.33B,$13.78B,2.38%
2015-09-30,$0.34B,$14.04B,2.46%
2015-06-30,$0.32B,$14.15B,2.30%
2015-03-31,$0.28B,$13.93B,2.04%
2014-12-31,$0.28B,$13.76B,2.05%
2014-09-30,$0.26B,$13.96B,1.91%
2014-06-30,$0.27B,$13.97B,1.98%
2014-03-31,$0.24B,$13.64B,1.78%
2013-12-31,$0.25B,$13.38B,1.87%
2013-09-30,$0.13B,$13.46B,0.93%
2013-06-30,$0.10B,$13.31B,0.78%
2013-03-31,$0.07B,$13.44B,0.54%
2012-12-31,$0.06B,$13.49B,0.42%
2012-09-30,$0.16B,$13.33B,1.24%
2012-06-30,$0.11B,$13.12B,0.87%
2012-03-31,$0.06B,$12.91B,0.49%
2011-12-31,$0.04B,$12.60B,0.35%
2011-09-30,$0.04B,$12.69B,0.43%
2011-06-30,$0.10B,$8.98B,1.20%
2011-03-31,$0.14B,$8.52B,1.62%
2010-12-31,$0.15B,$8.57B,1.80%
2010-09-30,$0.15B,$8.60B,1.85%
2010-06-30,$0.15B,$8.37B,1.85%
2010-03-31,$0.21B,$8.07B,2.67%
2009-12-31,$0.20B,$8.04B,2.50%
2009-09-30,$0.17B,$8.09B,2.12%
2009-06-30,$0.06B,$7.75B,0.73%
2009-03-31,$-0.01B,$7.70B,-0.13%
2008-12-31,$0.02B,$9.23B,0.22%
2008-09-30,$0.06B,$9.26B,0.66%
2008-06-30,$0.18B,$9.46B,1.84%
2008-03-31,$0.25B,$9.70B,2.54%
2007-12-31,$0.25B,$9.82B,2.59%
2007-09-30,$0.22B,$9.85B,2.28%
2007-06-30,$0.20B,$9.81B,2.07%
2007-03-31,$0.19B,$9.78B,1.98%
2006-12-31,$0.17B,$9.86B,1.73%
2006-09-30,$0.24B,$9.84B,2.42%
2006-06-30,$-0.35B,$9.69B,-2.69%
2006-03-31,$-0.33B,$10.16B,-2.05%
2005-12-31,$-0.32B,$10.63B,-1.70%
