Trustmark Debt/Equity Ratio Historical Data,Trustmark Debt/Equity Ratio Historical Data,Trustmark Debt/Equity Ratio Historical Data,Trustmark Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$14.81B,$1.74B,8.51
2020-09-30,$13.85B,$1.71B,8.1
2020-06-30,$14.02B,$1.67B,8.37
2020-03-31,$12.37B,$1.65B,7.49
2019-12-31,$11.84B,$1.66B,7.13
2019-09-30,$11.94B,$1.65B,7.26
2019-06-30,$11.93B,$1.62B,7.37
2019-03-31,$11.89B,$1.59B,7.49
2018-12-31,$11.70B,$1.59B,7.35
2018-09-30,$11.84B,$1.60B,7.4
2018-06-30,$11.94B,$1.58B,7.54
2018-03-31,$11.89B,$1.57B,7.58
2017-12-31,$12.23B,$1.57B,7.78
2017-09-30,$12.30B,$1.58B,7.77
2017-06-30,$12.35B,$1.56B,7.91
2017-03-31,$11.95B,$1.54B,7.77
2016-12-31,$11.83B,$1.52B,7.78
2016-09-30,$11.63B,$1.54B,7.58
2016-06-30,$11.51B,$1.52B,7.55
2016-03-31,$11.27B,$1.51B,7.47
2015-12-31,$11.21B,$1.47B,7.61
2015-09-30,$10.91B,$1.48B,7.39
2015-06-30,$10.73B,$1.45B,7.4
2015-03-31,$10.73B,$1.45B,7.42
2014-12-31,$10.83B,$1.42B,7.63
2014-09-30,$10.68B,$1.42B,7.55
2014-06-30,$10.72B,$1.40B,7.66
2014-03-31,$10.68B,$1.37B,7.78
2013-12-31,$10.44B,$1.36B,7.7
2013-09-30,$10.48B,$1.33B,7.88
2013-06-30,$10.54B,$1.33B,7.94
2013-03-31,$10.50B,$1.35B,7.76
2012-12-31,$8.54B,$1.29B,6.64
2012-09-30,$8.59B,$1.28B,6.73
2012-06-30,$8.63B,$1.26B,6.86
2012-03-31,$8.69B,$1.24B,7.0
2011-12-31,$8.51B,$1.22B,7.01
2011-09-30,$8.48B,$1.22B,6.95
2011-06-30,$8.51B,$1.19B,7.13
2011-03-31,$8.35B,$1.16B,7.2
2010-12-31,$8.40B,$1.15B,7.31
2010-09-30,$8.26B,$1.16B,7.13
2010-06-30,$8.10B,$1.14B,7.09
2010-03-31,$8.17B,$1.13B,7.24
2009-12-31,$8.42B,$1.11B,7.58
2009-09-30,$8.15B,$1.22B,6.67
2009-06-30,$8.43B,$1.20B,7.01
2009-03-31,$8.58B,$1.20B,7.14
2008-12-31,$8.61B,$1.18B,7.31
2008-09-30,$8.14B,$0.95B,8.58
2008-06-30,$8.38B,$0.94B,8.95
2008-03-31,$8.16B,$0.94B,8.71
2007-12-31,$8.05B,$0.92B,8.75
2007-09-30,$8.00B,$0.91B,8.82
2007-06-30,$7.94B,$0.89B,8.96
2007-03-31,$8.00B,$0.89B,8.95
2006-12-31,$7.95B,$0.89B,8.92
2006-09-30,$7.98B,$0.89B,8.97
2006-06-30,$7.47B,$0.76B,9.82
2006-03-31,$7.48B,$0.76B,9.9
2005-12-31,$7.65B,$0.74B,10.32
2005-09-30,$7.60B,$0.73B,10.37
2005-06-30,$7.36B,$0.75B,9.88
2005-03-31,$7.45B,$0.73B,10.18
