Date,EPS
2020-12-31,$0.79
2020-09-30,$0.86
2020-06-30,$0.51
2020-03-31,$0.35
2019-12-31,$0.52
2019-09-30,$0.64
2019-06-30,$0.65
2019-03-31,$0.51
2018-12-31,$0.54
2018-09-30,$0.54
2018-06-30,$0.59
2018-03-31,$0.54
2017-12-31,$0.24
2017-09-30,$0.51
2017-06-30,$0.35
2017-03-31,$0.46
2016-12-31,$0.42
2016-09-30,$0.46
2016-06-30,$0.32
2016-03-31,$0.40
2015-12-31,$0.41
2015-09-30,$0.42
2015-06-30,$0.45
2015-03-31,$0.43
2014-12-31,$0.41
2014-09-30,$0.50
2014-06-30,$0.49
2014-03-31,$0.43
2013-12-31,$0.42
2013-09-30,$0.49
2013-06-30,$0.46
2013-03-31,$0.38
2012-12-31,$0.43
2012-09-30,$0.46
2012-06-30,$0.45
2012-03-31,$0.47
2011-12-31,$0.38
2011-09-30,$0.42
2011-06-30,$0.49
2011-03-31,$0.37
2010-12-31,$0.39
2010-09-30,$0.40
2010-06-30,$0.41
2010-03-31,$0.37
2009-12-31,$0.23
2009-09-30,$0.39
2009-06-30,$0.23
2009-03-31,$0.41
2008-12-31,$0.41
2008-09-30,$0.41
2008-06-30,$0.31
2008-03-31,$0.46
2007-12-31,$0.42
2007-09-30,$0.51
2007-06-30,$0.51
2007-03-31,$0.44
2006-12-31,$0.50
2006-09-30,$0.52
2006-06-30,$0.55
2006-03-31,$0.52
2005-12-31,$0.49
2005-09-30,$0.46
2005-06-30,$0.39
2005-03-31,$0.47
