Date,EBIT
2020-12-31,"$1,699"
2020-09-30,"$1,073"
2020-06-30,
2020-03-31,$804
2019-12-31,"$1,157"
2019-09-30,$516
2019-06-30,$754
2019-03-31,"$1,055"
2018-12-31,$833
2018-09-30,$892
2018-06-30,$721
2018-03-31,$867
2017-12-31,$953
2017-09-30,$415
2017-06-30,$882
2017-03-31,$849
2016-12-31,"$1,392"
2016-09-30,"$1,036"
2016-06-30,$980
2016-03-31,"$1,008"
2015-12-31,"$1,304"
2015-09-30,"$1,401"
2015-06-30,"$1,168"
2015-03-31,"$1,240"
2014-12-31,"$1,552"
2014-09-30,"$1,351"
2014-06-30,$993
2014-03-31,"$1,562"
2013-12-31,"$1,463"
2013-09-30,"$1,268"
2013-06-30,"$1,263"
2013-03-31,"$1,312"
2012-12-31,$404
2012-09-30,"$1,263"
2012-06-30,$704
2012-03-31,"$1,173"
2011-12-31,$874
2011-09-30,$429
2011-06-30,$-630
2011-03-31,"$1,065"
2010-12-31,"$1,295"
2010-09-30,"$1,466"
2010-06-30,$978
2010-03-31,$955
2009-12-31,"$1,891"
2009-09-30,"$1,348"
2009-06-30,"$1,035"
2009-03-31,$819
2008-12-31,"$1,021"
2008-09-30,$283
2008-06-30,"$1,378"
2008-03-31,"$1,404"
2007-12-31,"$1,532"
2007-09-30,"$1,768"
2007-06-30,"$1,726"
2007-03-31,"$1,536"
2006-12-31,"$1,671"
2006-09-30,"$1,542"
2006-06-30,"$1,422"
2006-03-31,"$1,414"
2005-12-31,$272
2005-09-30,$62
2005-06-30,"$1,364"
2005-03-31,"$1,259"
