Date,EBITDA
2020-12-31,"$3,126"
2020-09-30,"$2,466"
2020-06-30,"$1,361"
2020-03-31,"$2,185"
2019-12-31,"$2,520"
2019-09-30,"$1,865"
2019-06-30,"$2,078"
2019-03-31,"$2,383"
2018-12-31,"$2,149"
2018-09-30,"$2,207"
2018-06-30,"$2,001"
2018-03-31,"$2,140"
2017-12-31,"$2,227"
2017-09-30,"$1,676"
2017-06-30,"$2,112"
2017-03-31,"$2,063"
2016-12-31,"$2,607"
2016-09-30,"$2,259"
2016-06-30,"$2,169"
2016-03-31,"$2,192"
2015-12-31,"$2,474"
2015-09-30,"$2,579"
2015-06-30,"$2,335"
2015-03-31,"$2,428"
2014-12-31,"$2,746"
2014-09-30,"$2,546"
2014-06-30,"$2,173"
2014-03-31,"$2,739"
2013-12-31,"$2,658"
2013-09-30,"$2,428"
2013-06-30,"$2,429"
2013-03-31,"$2,479"
2012-12-31,"$1,590"
2012-09-30,"$2,455"
2012-06-30,"$1,876"
2012-03-31,"$2,360"
2011-12-31,"$2,053"
2011-09-30,"$1,605"
2011-06-30,$537
2011-03-31,"$2,221"
2010-12-31,"$2,456"
2010-09-30,"$2,629"
2010-06-30,"$2,123"
2010-03-31,"$2,100"
2009-12-31,"$3,035"
2009-09-30,"$2,502"
2009-06-30,"$2,197"
2009-03-31,"$1,969"
2008-12-31,"$2,190"
2008-09-30,"$1,486"
2008-06-30,"$2,540"
2008-03-31,"$2,571"
2007-12-31,"$2,704"
2007-09-30,"$2,921"
2007-06-30,"$2,844"
2007-03-31,"$2,610"
2006-12-31,"$2,739"
2006-09-30,"$2,613"
2006-06-30,"$2,433"
2006-03-31,"$2,411"
2005-12-31,"$1,293"
2005-09-30,"$1,005"
2005-06-30,"$2,383"
2005-03-31,"$2,219"
