Date,Shares
2020-12-31,255
2020-09-30,254
2020-06-30,252
2020-03-31,256
2019-12-31,262
2019-09-30,262
2019-06-30,264
2019-03-31,265
2018-12-31,270
2018-09-30,268
2018-06-30,271
2018-03-31,274
2017-12-31,279
2017-09-30,277
2017-06-30,280
2017-03-31,282
2016-12-31,291
2016-09-30,290
2016-06-30,294
2016-03-31,298
2015-12-31,314
2015-09-30,311
2015-06-30,318
2015-03-31,325
2014-12-31,343
2014-09-30,339
2014-06-30,347
2014-03-31,355
2013-12-31,374
2013-09-30,373
2013-06-30,380
2013-03-31,382
2012-12-31,390
2012-09-30,388
2012-06-30,392
2012-03-31,396
2011-12-31,421
2011-09-30,419
2011-06-30,419
2011-03-31,434
2010-12-31,483
2010-09-30,472
2010-06-30,491
2010-03-31,515
2009-12-31,569
2009-09-30,564
2009-06-30,580
2009-03-31,590
2008-12-31,604
2008-09-30,595
2008-06-30,608
2008-03-31,625
2007-12-31,669
2007-09-30,662
2007-06-30,676
2007-03-31,701
2006-12-31,717
2006-09-30,715
2006-06-30,720
2006-03-31,721
2005-12-31,713
2005-09-30,684
2005-06-30,710
2005-03-31,709
