Date,EBIT
2020-12-31,$43
2020-09-30,$52
2020-06-30,$50
2020-03-31,$48
2019-12-31,$48
2019-09-30,$51
2019-06-30,$45
2019-03-31,$37
2018-12-31,$56
2018-09-30,$45
2018-06-30,$48
2018-03-31,$41
2017-12-31,$35
2017-09-30,$37
2017-06-30,$42
2017-03-31,$36
2016-12-31,$35
2016-09-30,$37
2016-06-30,$32
2016-03-31,$29
2015-12-31,$29
2015-09-30,$34
2015-06-30,$30
2015-03-31,$25
2014-12-31,$35
2014-09-30,$27
2014-06-30,$33
2014-03-31,$23
2013-12-31,$18
2013-09-30,$15
2013-06-30,$14
2013-03-31,$14
2012-12-31,$12
2012-09-30,$9
2012-06-30,$7
2012-03-31,$3
2011-12-31,$2
2011-09-30,$-0
2011-06-30,$-1
2011-03-31,$-2
2010-12-31,
