Date,EBITDA
2020-12-31,$39
2020-09-30,$45
2020-06-30,$46
2020-03-31,$42
2019-12-31,$46
2019-09-30,$47
2019-06-30,$41
2019-03-31,$36
2018-12-31,$49
2018-09-30,$42
2018-06-30,$42
2018-03-31,$39
2017-12-31,$32
2017-09-30,$31
2017-06-30,$35
2017-03-31,$28
2016-12-31,$32
2016-09-30,$33
2016-06-30,$28
2016-03-31,$26
2015-12-31,$26
2015-09-30,$32
2015-06-30,$29
2015-03-31,$24
2014-12-31,$30
2014-09-30,$24
2014-06-30,$29
2014-03-31,$19
2013-12-31,$17
2013-09-30,$14
2013-06-30,$13
2013-03-31,$12
2012-12-31,$10
2012-09-30,$7
2012-06-30,$7
2012-03-31,$3
2011-12-31,$2
2011-09-30,$-0
2011-06-30,$-1
2011-03-31,$-2
2010-12-31,
