Date,Shares
2020-12-31,67.0
2020-09-30,68.0
2020-06-30,67.0
2020-03-31,67.0
2019-12-31,66.0
2019-09-30,66.0
2019-06-30,66.0
2019-03-31,66.0
2018-12-31,64.0
2018-09-30,65.0
2018-06-30,65.0
2018-03-31,61.0
2017-12-31,60.0
2017-09-30,60.0
2017-06-30,60.0
2017-03-31,60.0
2016-12-31,59.0
2016-09-30,60.0
2016-06-30,59.0
2016-03-31,56.0
2015-12-31,54.0
2015-09-30,54.0
2015-06-30,54.0
2015-03-31,54.0
2014-12-31,51.0
2014-09-30,53.0
2014-06-30,53.0
2014-03-31,42.0
2013-12-31,35.0
2013-09-30,35.0
2013-06-30,34.0
2013-03-31,33.0
2012-12-31,
2012-09-30,
2012-06-30,
2012-03-31,
2011-12-31,
2011-09-30,
2011-06-30,
2011-03-31,
2010-12-31,
