UMB Financial Price/Book Ratio Historical Data,UMB Financial Price/Book Ratio Historical Data,UMB Financial Price/Book Ratio Historical Data,UMB Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,92.83,,1.56
2020-09-30,48.62,$59.43,0.82
2020-06-30,50.83,$57.84,0.88
2020-03-31,45.51,$55.33,0.82
2019-12-31,66.91,$53.09,1.26
2019-09-30,62.67,$52.23,1.2
2019-06-30,63.57,$50.50,1.26
2019-03-31,61.55,$47.92,1.28
2018-12-31,58.33,$45.37,1.29
2018-09-30,67.52,$44.20,1.53
2018-06-30,72.32,$43.96,1.65
2018-03-31,68.43,$43.31,1.58
2017-12-31,67.72,$43.72,1.55
2017-09-30,69.88,$42.15,1.66
2017-06-30,69.95,$41.42,1.69
2017-03-31,70.12,$40.34,1.74
2016-12-31,71.56,$39.51,1.81
2016-09-30,54.99,$40.86,1.35
2016-06-30,49.02,$40.44,1.21
2016-03-31,47.36,$39.38,1.2
2015-12-31,42.49,$38.34,1.11
2015-09-30,46.15,$38.56,1.2
2015-06-30,51.55,$37.68,1.37
2015-03-31,47.61,$36.76,1.3
2014-12-31,50.98,$36.10,1.41
2014-09-30,48.68,$35.51,1.37
2014-06-30,56.35,$35.21,1.6
2014-03-31,57.3,$33.94,1.69
2013-12-31,56.72,$33.30,1.7
2013-09-30,47.78,$32.85,1.45
2013-06-30,48.77,$30.20,1.61
2013-03-31,42.81,$31.73,1.35
2012-12-31,38.05,$31.71,1.2
2012-09-30,42.06,$31.88,1.32
2012-06-30,44.08,$30.89,1.43
2012-03-31,38.32,$29.90,1.28
2011-12-31,31.75,$29.46,1.08
2011-09-30,27.19,$28.97,0.94
2011-06-30,35.31,$27.97,1.26
2011-03-31,31.36,$26.62,1.18
2010-12-31,34.6,$26.24,1.32
2010-09-30,29.51,$26.98,1.09
2010-06-30,29.39,$26.42,1.11
2010-03-31,33.38,$25.43,1.31
2009-12-31,32.21,$25.11,1.28
2009-09-30,32.94,$25.08,1.31
2009-06-30,30.83,$24.42,1.26
2009-03-31,34.31,$24.19,1.42
2008-12-31,39.48,$23.81,1.66
2008-09-30,42.03,$22.82,1.84
2008-06-30,40.91,$22.40,1.83
2008-03-31,32.77,$22.57,1.45
2007-12-31,30.39,$21.55,1.41
2007-09-30,33.81,$21.18,1.6
2007-06-30,28.99,$20.44,1.42
2007-03-31,29.58,$20.42,1.45
2006-12-31,28.5,$20.08,1.42
2006-09-30,28.44,$20.03,1.42
2006-06-30,25.83,$19.28,1.34
2006-03-31,27.1,$19.35,1.4
