Umpqua Holdings Debt/Equity Ratio Historical Data,Umpqua Holdings Debt/Equity Ratio Historical Data,Umpqua Holdings Debt/Equity Ratio Historical Data,Umpqua Holdings Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$26.53B,$2.71B,9.81
2020-09-30,$26.83B,$2.61B,10.28
2020-06-30,$27.11B,$2.54B,10.68
2020-03-31,$25.03B,$2.51B,9.98
2019-12-31,$24.53B,$4.31B,5.69
2019-09-30,$24.64B,$4.29B,5.75
2019-06-30,$23.76B,$4.23B,5.62
2019-03-31,$23.24B,$4.11B,5.65
2018-12-31,$22.88B,$4.06B,5.64
2018-09-30,$22.61B,$4.00B,5.65
2018-06-30,$22.50B,$3.98B,5.65
2018-03-31,$21.86B,$4.01B,5.45
2017-12-31,$21.71B,$3.97B,5.47
2017-09-30,$21.71B,$3.99B,5.45
2017-06-30,$21.30B,$3.96B,5.38
2017-03-31,$20.93B,$3.93B,5.32
2016-12-31,$20.90B,$3.92B,5.34
2016-09-30,$20.82B,$3.92B,5.31
2016-06-30,$20.23B,$3.90B,5.18
2016-03-31,$20.06B,$3.88B,5.17
2015-12-31,$19.56B,$3.85B,5.08
2015-09-30,$19.33B,$3.84B,5.04
2015-06-30,$18.99B,$3.80B,4.99
2015-03-31,$19.15B,$3.80B,5.04
2014-12-31,$18.83B,$3.78B,4.99
2014-09-30,$18.74B,$3.75B,4.99
2014-06-30,$18.31B,$3.73B,4.91
2014-03-31,$10.10B,$1.73B,5.83
2013-12-31,$9.91B,$1.73B,5.74
2013-09-30,$9.84B,$1.73B,5.7
2013-06-30,$9.68B,$1.72B,5.64
2013-03-31,$9.76B,$1.73B,5.63
2012-12-31,$10.07B,$1.72B,5.84
2012-09-30,$9.82B,$1.71B,5.73
2012-06-30,$9.83B,$1.70B,5.79
2012-03-31,$9.77B,$1.69B,5.79
2011-12-31,$9.89B,$1.67B,5.91
2011-09-30,$10.08B,$1.70B,5.95
2011-06-30,$9.79B,$1.67B,5.84
2011-03-31,$9.90B,$1.65B,5.99
2010-12-31,$10.03B,$1.64B,6.1
2010-09-30,$9.88B,$1.65B,5.98
2010-06-30,$9.17B,$1.65B,5.55
2010-03-31,$8.86B,$1.65B,5.38
2009-12-31,$7.82B,$1.57B,4.99
2009-09-30,$7.60B,$1.61B,4.73
2009-06-30,$7.30B,$1.36B,5.38
2009-03-31,$7.31B,$1.47B,4.98
2008-12-31,$7.11B,$1.49B,4.78
2008-09-30,$7.08B,$1.25B,5.68
2008-06-30,$7.10B,$1.24B,5.71
2008-03-31,$7.10B,$1.26B,5.65
2007-12-31,$7.10B,$1.24B,5.73
2007-09-30,$6.99B,$1.23B,5.67
2007-06-30,$6.89B,$1.26B,5.48
2007-03-31,$6.17B,$1.17B,5.28
2006-12-31,$6.19B,$1.16B,5.35
2006-09-30,$6.06B,$1.14B,5.31
2006-06-30,$6.07B,$1.11B,5.45
2006-03-31,$4.73B,$0.75B,6.29
2005-12-31,$4.62B,$0.74B,6.26
2005-09-30,$4.46B,$0.73B,6.14
2005-06-30,$4.32B,$0.72B,6.05
2005-03-31,$4.29B,$0.70B,6.15
