Date,Shares
2020-12-31,220
2020-09-30,220
2020-06-30,220
2020-03-31,220
2019-12-31,221
2019-09-30,221
2019-06-30,221
2019-03-31,221
2018-12-31,221
2018-09-30,221
2018-06-30,221
2018-03-31,221
2017-12-31,221
2017-09-30,221
2017-06-30,221
2017-03-31,221
2016-12-31,221
2016-09-30,221
2016-06-30,221
2016-03-31,221
2015-12-31,221
2015-09-30,221
2015-06-30,221
2015-03-31,221
2014-12-31,188
2014-09-30,219
2014-06-30,198
2014-03-31,112
2013-12-31,112
2013-09-30,112
2013-06-30,112
2013-03-31,112
2012-12-31,112
2012-09-30,112
2012-06-30,112
2012-03-31,112
2011-12-31,114
2011-09-30,115
2011-06-30,115
2011-03-31,115
2010-12-31,108
2010-09-30,115
2010-06-30,115
2010-03-31,92
2009-12-31,70
2009-09-30,74
2009-06-30,60
2009-03-31,60
2008-12-31,60
2008-09-30,60
2008-06-30,60
2008-03-31,60
2007-12-31,60
2007-09-30,61
2007-06-30,61
2007-03-31,58
2006-12-31,53
2006-09-30,58
2006-06-30,49
2006-03-31,45
2005-12-31,45
2005-09-30,45
2005-06-30,45
2005-03-31,45
