Date,EBIT
2020-12-31,$170
2020-09-30,$349
2020-06-30,$385
2020-03-31,$248
2019-12-31,$424
2019-09-30,$346
2019-06-30,$395
2019-03-31,$395
2018-12-31,$352
2018-09-30,$-335
2018-06-30,$397
2018-03-31,$381
2017-12-31,$385
2017-09-30,$407
2017-06-30,$402
2017-03-31,$370
2016-12-31,$411
2016-09-30,$377
2016-06-30,$383
2016-03-31,$343
2015-12-31,$356
2015-09-30,$337
2015-06-30,$358
2015-03-31,$341
2014-12-31,$-416
2014-09-30,$355
2014-06-30,$403
2014-03-31,$368
2013-12-31,$358
2013-09-30,$322
2013-06-30,$349
2013-03-31,$341
2012-12-31,$361
2012-09-30,$357
2012-06-30,$332
2012-03-31,$346
2011-12-31,$-582
2011-09-30,$324
2011-06-30,$370
2011-03-31,$365
2010-12-31,$363
2010-09-30,$362
2010-06-30,$342
2010-03-31,$395
2009-12-31,$330
2009-09-30,$363
2009-06-30,$442
2009-03-31,$283
2008-12-31,$87
2008-09-30,$197
2008-06-30,$408
2008-03-31,$289
2007-12-31,$333
2007-09-30,$323
2007-06-30,$277
2007-03-31,$306
2006-12-31,$337
2006-09-30,$-53
2006-06-30,$238
2006-03-31,$161
2005-12-31,$231
2005-09-30,$118
2005-06-30,$319
2005-03-31,$234
