Date,EPS
2020-12-31,$0.67
2020-09-30,$1.13
2020-06-30,$1.30
2020-03-31,$0.79
2019-12-31,$1.44
2019-09-30,$1.16
2019-06-30,$1.33
2019-03-31,$1.31
2018-12-31,$1.16
2018-09-30,$-1.30
2018-06-30,$1.29
2018-03-31,$1.23
2017-12-31,$1.18
2017-09-30,$1.12
2017-06-30,$1.07
2017-03-31,$1.00
2016-12-31,$1.06
2016-09-30,$1.01
2016-06-30,$1.00
2016-03-31,$0.88
2015-12-31,$0.93
2015-09-30,$0.83
2015-06-30,$0.90
2015-03-31,$0.84
2014-12-31,$-1.08
2014-09-30,$0.86
2014-06-30,$0.93
2014-03-31,$0.86
2013-12-31,$0.80
2013-09-30,$0.78
2013-06-30,$0.82
2013-03-31,$0.79
2012-12-31,$0.85
2012-09-30,$0.83
2012-06-30,$0.76
2012-03-31,$0.73
2011-12-31,$-1.19
2011-09-30,$0.68
2011-06-30,$0.74
2011-03-31,$0.71
2010-12-31,$0.69
2010-09-30,$0.68
2010-06-30,$0.63
2010-03-31,$0.69
2009-12-31,$0.61
2009-09-30,$0.66
2009-06-30,$0.80
2009-03-31,$0.50
2008-12-31,$0.15
2008-09-30,$0.32
2008-06-30,$0.69
2008-03-31,$0.46
2007-12-31,$0.45
2007-09-30,$0.52
2007-06-30,$0.43
2007-03-31,$0.51
2006-12-31,$0.81
2006-09-30,$-0.19
2006-06-30,$0.38
2006-03-31,$0.23
2005-12-31,$0.43
2005-09-30,$0.17
2005-06-30,$0.55
2005-03-31,$0.49
