Unum Group Price/Book Ratio Historical Data,Unum Group Price/Book Ratio Historical Data,Unum Group Price/Book Ratio Historical Data,Unum Group Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,27.63,,0.52
2020-12-31,22.67,$53.37,0.42
2020-09-30,16.36,$53.50,0.31
2020-06-30,15.86,$51.90,0.31
2020-03-31,14.09,$48.21,0.29
2019-12-31,27.1,$49.10,0.55
2019-09-30,27.34,$46.70,0.59
2019-06-30,30.6,$45.11,0.68
2019-03-31,30.64,$42.68,0.72
2018-12-31,26.41,$40.18,0.66
2018-09-30,35.12,$38.95,0.9
2018-06-30,33.03,$43.20,0.76
2018-03-31,42.31,$42.95,0.99
2017-12-31,48.58,$43.02,1.13
2017-09-30,45.06,$42.11,1.07
2017-06-30,40.9,$41.21,0.99
2017-03-31,40.95,$39.91,1.03
2016-12-31,38.2,$39.02,0.98
2016-09-30,30.53,$40.33,0.76
2016-06-30,27.32,$38.96,0.7
2016-03-31,26.43,$37.52,0.7
2015-12-31,28.27,$35.96,0.79
2015-09-30,27.09,$35.25,0.77
2015-06-30,30.05,$34.53,0.87
2015-03-31,28.21,$34.82,0.81
2014-12-31,29.02,$33.78,0.86
2014-09-30,28.47,$36.69,0.78
2014-06-30,28.65,$36.29,0.79
2014-03-31,28.97,$34.77,0.83
2013-12-31,28.65,$33.30,0.86
2013-09-30,24.75,$33.20,0.75
2013-06-30,23.77,$31.80,0.75
2013-03-31,22.76,$32.06,0.71
2012-12-31,16.68,$31.87,0.52
2012-09-30,15.3,$31.53,0.49
2012-06-30,15.12,$29.94,0.5
2012-03-31,19.27,$28.62,0.67
2011-12-31,16.51,$27.91,0.59
2011-09-30,16.35,$32.36,0.51
2011-06-30,19.79,$29.94,0.66
2011-03-31,20.32,$29.08,0.7
2010-12-31,18.68,$28.25,0.66
2010-09-30,17.01,$28.08,0.61
2010-06-30,16.6,$27.12,0.61
2010-03-31,18.88,$26.38,0.72
2009-12-31,14.82,$25.62,0.58
2009-09-30,16.22,$24.86,0.65
2009-06-30,11.94,$22.57,0.53
2009-03-31,9.37,$19.39,0.48
2008-12-31,13.87,$19.32,0.72
2008-09-30,18.62,$20.22,0.92
2008-06-30,15.12,$22.19,0.68
2008-03-31,16.22,$22.06,0.74
2007-12-31,17.47,$22.28,0.78
2007-09-30,17.91,$21.70,0.83
2007-06-30,19.05,$20.43,0.93
2007-03-31,16.75,$21.52,0.78
2006-12-31,15.06,$22.53,0.67
2006-09-30,14.0,$22.17,0.63
2006-06-30,13.03,$20.40,0.64
2006-03-31,14.66,$21.94,0.67
