Unum Group ROA - Return on Assets Historical Data,Unum Group ROA - Return on Assets Historical Data,Unum Group ROA - Return on Assets Historical Data,Unum Group ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.79B,$70.63B,1.15%
2020-09-30,$0.95B,$69.62B,1.41%
2020-06-30,$0.97B,$69.31B,1.44%
2020-03-31,$0.98B,$65.34B,1.48%
2019-12-31,$1.10B,$67.01B,1.67%
2019-09-30,$1.05B,$66.96B,1.63%
2019-06-30,$0.53B,$65.84B,0.83%
2019-03-31,$0.53B,$63.92B,0.85%
2018-12-31,$0.52B,$61.88B,0.84%
2018-09-30,$0.54B,$62.25B,0.86%
2018-06-30,$1.08B,$62.37B,1.70%
2018-03-31,$1.04B,$63.01B,1.63%
2017-12-31,$0.99B,$64.01B,1.57%
2017-09-30,$0.98B,$63.81B,1.55%
2017-06-30,$0.96B,$63.38B,1.52%
2017-03-31,$0.95B,$62.53B,1.51%
2016-12-31,$0.93B,$61.94B,1.48%
2016-09-30,$0.91B,$63.91B,1.45%
2016-06-30,$0.88B,$63.85B,1.42%
2016-03-31,$0.87B,$61.97B,1.41%
2015-12-31,$0.87B,$60.56B,1.41%
2015-09-30,$0.36B,$61.50B,0.58%
2015-06-30,$0.37B,$61.71B,0.60%
2015-03-31,$0.39B,$63.02B,0.62%
2014-12-31,$0.40B,$62.45B,0.65%
2014-09-30,$0.89B,$61.96B,1.46%
2014-06-30,$0.88B,$62.22B,1.45%
2014-03-31,$0.86B,$61.08B,1.44%
2013-12-31,$0.85B,$59.40B,1.41%
2013-09-30,$0.87B,$59.59B,1.44%
2013-06-30,$0.90B,$59.37B,1.46%
2013-03-31,$0.89B,$61.61B,1.45%
2012-12-31,$0.89B,$62.24B,1.46%
2012-09-30,$0.29B,$62.12B,0.48%
2012-06-30,$0.26B,$60.68B,0.44%
2012-03-31,$0.28B,$59.57B,0.46%
2011-12-31,$0.29B,$59.56B,0.49%
2011-09-30,$0.87B,$60.04B,1.50%
2011-06-30,$0.89B,$58.02B,1.54%
2011-03-31,$0.87B,$57.12B,1.52%
2010-12-31,$0.88B,$57.31B,1.54%
2010-09-30,$0.86B,$59.06B,1.53%
2010-06-30,$0.86B,$56.79B,1.56%
2010-03-31,$0.92B,$55.00B,1.70%
2009-12-31,$0.85B,$54.48B,1.63%
2009-09-30,$0.70B,$54.48B,1.36%
2009-06-30,$0.58B,$51.34B,1.16%
2009-03-31,$0.56B,$49.18B,1.11%
2008-12-31,$0.55B,$49.42B,1.09%
2008-09-30,$0.67B,$49.94B,1.30%
2008-06-30,$0.75B,$51.77B,1.44%
2008-03-31,$0.67B,$52.07B,1.27%
2007-12-31,$0.68B,$52.70B,1.30%
2007-09-30,$0.80B,$52.57B,1.52%
2007-06-30,$0.54B,$52.07B,1.04%
2007-03-31,$0.52B,$52.33B,0.99%
2006-12-31,$0.41B,$52.82B,0.80%
2006-09-30,$0.27B,$52.17B,0.53%
2006-06-30,$0.39B,$50.40B,0.76%
2006-03-31,$0.44B,$50.47B,0.85%
2005-12-31,$0.51B,$51.87B,1.00%
