Date,EPS
2020-12-31,$0.94
2020-09-30,$0.99
2020-06-30,$0.41
2020-03-31,$0.72
2019-12-31,$0.92
2019-09-30,$1.15
2019-06-30,$1.09
2019-03-31,$1.00
2018-12-31,$1.10
2018-09-30,$1.06
2018-06-30,$1.02
2018-03-31,$0.96
2017-12-31,$0.96
2017-09-30,$0.88
2017-06-30,$0.85
2017-03-31,$0.82
2016-12-31,$0.81
2016-09-30,$0.84
2016-06-30,$0.83
2016-03-31,$0.76
2015-12-31,$0.79
2015-09-30,$0.81
2015-06-30,$0.80
2015-03-31,$0.76
2014-12-31,$0.79
2014-09-30,$0.78
2014-06-30,$0.78
2014-03-31,$0.73
2013-12-31,$0.75
2013-09-30,$0.76
2013-06-30,$0.76
2013-03-31,$0.73
2012-12-31,$0.72
2012-09-30,$0.74
2012-06-30,$0.71
2012-03-31,$0.67
2011-12-31,$0.70
2011-09-30,$0.64
2011-06-30,$0.60
2011-03-31,$0.52
2010-12-31,$0.49
2010-09-30,$0.45
2010-06-30,$0.45
2010-03-31,$0.34
2009-12-31,$0.31
2009-09-30,$0.30
2009-06-30,$0.12
2009-03-31,$0.24
2008-12-31,$0.14
2008-09-30,$0.32
2008-06-30,$0.53
2008-03-31,$0.62
2007-12-31,$0.52
2007-09-30,$0.62
2007-06-30,$0.65
2007-03-31,$0.63
2006-12-31,$0.66
2006-09-30,$0.66
2006-06-30,$0.66
2006-03-31,$0.63
2005-12-31,$0.63
2005-09-30,$0.62
2005-06-30,$0.60
2005-03-31,$0.57
