Valley National Bancorp Debt/Equity Ratio Historical Data,Valley National Bancorp Debt/Equity Ratio Historical Data,Valley National Bancorp Debt/Equity Ratio Historical Data,Valley National Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$36.09B,$4.59B,7.86
2020-09-30,$36.21B,$4.53B,7.99
2020-06-30,$37.24B,$4.47B,8.32
2020-03-31,$34.70B,$4.42B,7.85
2019-12-31,$33.05B,$4.38B,7.54
2019-09-30,$30.21B,$3.56B,8.49
2019-06-30,$29.52B,$3.50B,8.43
2019-03-31,$29.03B,$3.45B,8.43
2018-12-31,$28.51B,$3.35B,8.51
2018-09-30,$27.58B,$3.30B,8.35
2018-06-30,$26.91B,$3.28B,8.21
2018-03-31,$26.22B,$3.25B,8.08
2017-12-31,$21.47B,$2.53B,8.48
2017-09-30,$21.24B,$2.54B,8.37
2017-06-30,$21.03B,$2.42B,8.67
2017-03-31,$20.82B,$2.40B,8.68
2016-12-31,$20.49B,$2.38B,8.62
2016-09-30,$20.11B,$2.26B,8.91
2016-06-30,$19.58B,$2.23B,8.77
2016-03-31,$19.51B,$2.22B,8.79
2015-12-31,$19.41B,$2.21B,8.79
2015-09-30,$17.58B,$2.00B,8.8
2015-06-30,$17.30B,$1.99B,8.72
2015-03-31,$17.11B,$1.87B,9.17
2014-12-31,$16.93B,$1.86B,9.09
2014-09-30,$15.14B,$1.58B,9.56
2014-06-30,$14.76B,$1.57B,9.38
2014-03-31,$14.79B,$1.56B,9.48
2013-12-31,$14.62B,$1.54B,9.48
2013-09-30,$14.46B,$1.52B,9.51
2013-06-30,$14.46B,$1.52B,9.5
2013-03-31,$14.52B,$1.51B,9.63
2012-12-31,$14.51B,$1.50B,9.66
2012-09-30,$14.26B,$1.51B,9.42
2012-06-30,$14.52B,$1.50B,9.66
2012-03-31,$14.46B,$1.49B,9.68
2011-12-31,$13.00B,$1.26B,10.36
2011-09-30,$12.92B,$1.31B,9.89
2011-06-30,$13.16B,$1.31B,10.04
2011-03-31,$13.06B,$1.31B,9.99
2010-12-31,$12.85B,$1.30B,9.92
2010-09-30,$12.81B,$1.28B,10.02
2010-06-30,$12.84B,$1.27B,10.12
2010-03-31,$13.22B,$1.26B,10.49
2009-12-31,$13.03B,$1.25B,10.4
2009-09-30,$12.95B,$1.28B,10.08
2009-06-30,$12.81B,$1.32B,9.72
2009-03-31,$13.04B,$1.39B,9.4
2008-12-31,$13.36B,$1.36B,9.79
2008-09-30,$13.20B,$1.09B,12.13
2008-06-30,$12.04B,$0.95B,12.65
2008-03-31,$12.00B,$0.96B,12.52
2007-12-31,$11.80B,$0.95B,12.43
2007-09-30,$11.50B,$0.94B,12.19
2007-06-30,$11.39B,$0.93B,12.3
2007-03-31,$11.37B,$0.93B,12.22
2006-12-31,$11.45B,$0.95B,12.05
2006-09-30,$11.46B,$0.98B,11.71
2006-06-30,$11.49B,$0.95B,12.16
2006-03-31,$11.38B,$0.94B,12.16
2005-12-31,$11.50B,$0.93B,12.35
2005-09-30,$11.57B,$0.92B,12.6
2005-06-30,$11.35B,$0.92B,12.38
2005-03-31,$10.59B,$0.82B,12.9
