Date,EBIT
2020-12-31,$549
2020-09-30,$-100
2020-06-30,$2
2020-03-31,$87
2019-12-31,$128
2019-09-30,$208
2019-06-30,$301
2019-03-31,$149
2018-12-31,$165
2018-09-30,$241
2018-06-30,$303
2018-03-31,$76
2017-12-31,$139
2017-09-30,$107
2017-06-30,$227
2017-03-31,$176
2016-12-31,$43
2016-09-30,$-284
2016-06-30,$331
2016-03-31,$310
2015-12-31,$-237
2015-09-30,$193
2015-06-30,$618
2015-03-31,$371
2014-12-31,$-377
2014-09-30,$664
2014-06-30,$518
2014-03-31,$396
2013-12-31,$724
2013-09-30,$519
2013-06-30,$12
2013-03-31,$-133
2012-12-31,$-31
2012-09-30,$447
2012-06-30,$917
2012-03-31,$-466
2011-12-31,
2010-12-31,
