Date,EPS
2020-12-31,$2.06
2020-09-30,$-2.64
2020-06-30,$-0.55
2020-03-31,$-0.71
2019-12-31,$-5.31
2019-09-30,$0.74
2019-06-30,$1.51
2019-03-31,$0.42
2018-12-31,$0.20
2018-09-30,$0.87
2018-06-30,$0.96
2018-03-31,$2.50
2017-12-31,$-17.21
2017-09-30,$0.81
2017-06-30,$0.89
2017-03-31,$-0.74
2016-12-31,$-2.08
2016-09-30,$-1.24
2016-06-30,$0.79
2016-03-31,$0.92
2015-12-31,$-0.41
2015-09-30,$0.18
2015-06-30,$1.24
2015-03-31,$0.79
2014-12-31,$5.46
2014-09-30,$1.59
2014-06-30,$0.97
2014-03-31,$0.98
2013-12-31,$2.31
2013-09-30,$1.32
2013-06-30,$-0.33
2013-03-31,$-0.92
2012-12-31,$-0.10
2012-09-30,$1.59
2012-06-30,$2.76
2012-03-31,$-2.20
2011-12-31,$0.00
2010-12-31,$0.00
