Voya Financial Price/Book Ratio Historical Data,Voya Financial Price/Book Ratio Historical Data,Voya Financial Price/Book Ratio Historical Data,Voya Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,66.52,,0.74
2020-12-31,58.65,$89.97,0.65
2020-09-30,47.68,$84.32,0.57
2020-06-30,46.28,$81.55,0.57
2020-03-31,40.09,$65.53,0.61
2019-12-31,60.13,$76.79,0.78
2019-09-30,53.54,$83.18,0.64
2019-06-30,54.22,$76.53,0.71
2019-03-31,48.98,$66.27,0.74
2018-12-31,39.34,$59.64,0.66
2018-09-30,48.68,$58.56,0.83
2018-06-30,46.06,$57.04,0.81
2018-03-31,49.48,$60.67,0.82
2017-12-31,48.46,$64.19,0.75
2017-09-30,39.06,$81.29,0.48
2017-06-30,36.12,$79.54,0.45
2017-03-31,37.15,$73.07,0.51
2016-12-31,38.38,$71.76,0.53
2016-09-30,28.19,$83.02,0.34
2016-06-30,24.21,$81.73,0.3
2016-03-31,29.1,$76.99,0.38
2015-12-31,36.07,$77.84,0.46
2015-09-30,37.88,$80.11,0.47
2015-06-30,45.39,$77.54,0.59
2015-03-31,42.1,$81.50,0.52
2014-12-31,41.38,$76.74,0.54
2014-09-30,38.17,$69.57,0.55
2014-06-30,35.46,$67.80,0.52
2014-03-31,35.39,$64.26,0.55
2013-12-31,34.28,$59.29,0.58
2013-09-30,28.48,$56.99,0.5
2013-06-30,26.38,$56.17,0.47
