Date,EPS
2020-12-31,$0.64
2020-09-30,$0.75
2020-06-30,$0.57
2020-03-31,$0.39
2019-12-31,$0.95
2019-09-30,$1.00
2019-06-30,$1.05
2019-03-31,$1.06
2018-12-31,$1.04
2018-09-30,$1.06
2018-06-30,$0.86
2018-03-31,$0.85
2017-12-31,$0.74
2017-09-30,$0.67
2017-06-30,$0.64
2017-03-31,$0.62
2016-12-31,$0.60
2016-09-30,$0.54
2016-06-30,$0.53
2016-03-31,$0.49
2015-12-31,$0.53
2015-09-30,$0.53
2015-06-30,$0.55
2015-03-31,$0.52
2014-12-31,$0.52
2014-09-30,$0.53
2014-06-30,$0.50
2014-03-31,$0.53
2013-12-31,$0.45
2013-09-30,$0.49
2013-06-30,$0.48
2013-03-31,$0.44
2012-12-31,$0.52
2012-09-30,$0.48
2012-06-30,$0.44
2012-03-31,$0.42
2011-12-31,$0.44
2011-09-30,$0.45
2011-06-30,$0.36
2011-03-31,$0.36
2010-12-31,$0.28
2010-09-30,$0.22
2010-06-30,$0.15
2010-03-31,$-0.08
2009-12-31,$-0.71
2009-09-30,$-0.39
2009-06-30,$-0.65
2009-03-31,$-0.41
2008-12-31,$-5.91
2008-09-30,$-0.42
2008-06-30,$-0.56
2008-03-31,$0.46
2007-12-31,$-0.13
2007-09-30,$0.64
2007-06-30,$0.63
2007-03-31,$0.62
2006-12-31,$0.67
2006-09-30,$0.17
2006-06-30,$0.81
2006-03-31,$0.82
2005-12-31,$0.83
2005-09-30,$0.86
2005-06-30,$0.85
2005-03-31,$0.88
