Date,Shares
2020-12-31,90
2020-09-30,90
2020-06-30,90
2020-03-31,91
2019-12-31,92
2019-09-30,92
2019-06-30,92
2019-03-31,92
2018-12-31,92
2018-09-30,92
2018-06-30,92
2018-03-31,92
2017-12-31,92
2017-09-30,93
2017-06-30,92
2017-03-31,92
2016-12-31,92
2016-09-30,92
2016-06-30,92
2016-03-31,92
2015-12-31,92
2015-09-30,92
2015-06-30,91
2015-03-31,91
2014-12-31,91
2014-09-30,91
2014-06-30,91
2014-03-31,91
2013-12-31,90
2013-09-30,90
2013-06-30,90
2013-03-31,90
2012-12-31,92
2012-09-30,92
2012-06-30,92
2012-03-31,92
2011-12-31,92
2011-09-30,91
2011-06-30,92
2011-03-31,93
2010-12-31,82
2010-09-30,82
2010-06-30,83
2010-03-31,78
2009-12-31,64
2009-09-30,66
2009-06-30,58
2009-03-31,52
2008-12-31,52
2008-09-30,52
2008-06-30,52
2008-03-31,53
2007-12-31,55
2007-09-30,54
2007-06-30,56
2007-03-31,57
2006-12-31,54
2006-09-30,53
2006-06-30,53
2006-03-31,54
2005-12-31,54
2005-09-30,54
2005-06-30,54
2005-03-31,54
