Date,EBITDA
2020-12-31,$-2
2020-09-30,$41
2020-06-30,$27
2020-03-31,$43
2019-12-31,$33
2019-09-30,$45
2019-06-30,$47
2019-03-31,$42
2018-12-31,$54
2018-09-30,$68
2018-06-30,$65
2018-03-31,$66
2017-12-31,$68
2017-09-30,$60
2017-06-30,$58
2017-03-31,$60
2016-12-31,$67
2016-09-30,$81
2016-06-30,$70
2016-03-31,$83
2015-12-31,$91
2015-09-30,$123
2015-06-30,$126
2015-03-31,$122
2014-12-31,$138
2014-09-30,$145
2014-06-30,$144
2014-03-31,$136
2013-12-31,$133
2013-09-30,$121
2013-06-30,$102
2013-03-31,$100
2012-12-31,$101
2012-09-30,$96
2012-06-30,$85
2012-03-31,$89
2011-12-31,$76
2011-09-30,$92
2011-06-30,$96
2011-03-31,$92
2010-12-31,$81
2010-09-30,$78
2010-06-30,$81
2010-03-31,$76
2009-12-31,$68
2009-09-30,$63
2009-06-30,$51
2009-03-31,$44
2008-12-31,$39
2008-09-30,$75
2008-06-30,$74
2008-03-31,$60
2007-12-31,$63
2007-09-30,$58
2007-06-30,$57
2007-03-31,$54
2006-12-31,$62
2006-09-30,$41
2006-06-30,$-10
2006-03-31,$43
2005-12-31,$36
2005-09-30,$41
2005-06-30,$-3
2005-03-31,$40
