Date,Shares
2020-12-31,65
2020-09-30,64
2020-06-30,65
2020-03-31,68
2019-12-31,73
2019-09-30,72
2019-06-30,75
2019-03-31,76
2018-12-31,80
2018-09-30,80
2018-06-30,81
2018-03-31,83
2017-12-31,84
2017-09-30,83
2017-06-30,84
2017-03-31,84
2016-12-31,83
2016-09-30,83
2016-06-30,83
2016-03-31,82
2015-12-31,83
2015-09-30,83
2015-06-30,84
2015-03-31,84
2014-12-31,84
2014-09-30,84
2014-06-30,85
2014-03-31,85
2013-12-31,86
2013-09-30,86
2013-06-30,86
2013-03-31,86
2012-12-31,86
2012-09-30,86
2012-06-30,86
2012-03-31,86
2011-12-31,86
2011-09-30,86
2011-06-30,86
2011-03-31,86
2010-12-31,86
2010-09-30,85
2010-06-30,86
2010-03-31,86
2009-12-31,86
2009-09-30,86
2009-06-30,86
2009-03-31,85
2008-12-31,86
2008-09-30,86
2008-06-30,87
2008-03-31,87
2007-12-31,85
2007-09-30,82
2007-06-30,82
2007-03-31,83
2006-12-31,83
2006-09-30,83
2006-06-30,82
2006-03-31,83
2005-12-31,82
2005-09-30,82
2005-06-30,81
2005-03-31,82
