Date,EPS
2020-12-31,$0.64
2020-09-30,$0.42
2020-06-30,$-0.66
2020-03-31,$0.01
2019-12-31,$0.63
2019-09-30,$0.92
2019-06-30,$1.30
2019-03-31,$1.20
2018-12-31,$1.21
2018-09-30,$1.13
2018-06-30,$0.98
2018-03-31,$0.96
2017-12-31,$1.16
2017-09-30,$0.83
2017-06-30,$1.08
2017-03-31,$1.03
2016-12-31,$0.96
2016-09-30,$1.03
2016-06-30,$1.01
2016-03-31,$0.99
2015-12-31,$1.00
2015-09-30,$1.05
2015-06-30,$1.03
2015-03-31,$1.04
2014-12-31,$1.02
2014-09-30,$1.02
2014-06-30,$1.01
2014-03-31,$1.05
2013-12-31,$1.00
2013-09-30,$0.99
2013-06-30,$0.98
2013-03-31,$0.92
2012-12-31,$0.91
2012-09-30,$0.88
2012-06-30,$0.82
2012-03-31,$0.75
2011-12-31,$0.73
2011-09-30,$0.72
2011-06-30,$0.70
2011-03-31,$0.67
2010-12-31,$0.61
2010-09-30,$0.60
2010-06-30,$0.55
2010-03-31,$0.45
2009-12-31,$0.06
2009-09-30,$0.56
2009-06-30,$0.57
2009-03-31,$0.56
2008-12-31,$-0.92
2008-09-30,$0.49
2008-06-30,$0.53
2008-03-31,$0.60
2007-12-31,$0.41
2007-09-30,$0.64
2007-06-30,$0.67
2007-03-31,$0.66
2006-12-31,$0.62
2006-09-30,$0.64
2006-06-30,$0.61
2006-03-31,$0.60
2005-12-31,$0.57
2005-09-30,$0.58
2005-06-30,$0.56
2005-03-31,$0.54
