W.R Berkley ROA - Return on Assets Historical Data,W.R Berkley ROA - Return on Assets Historical Data,W.R Berkley ROA - Return on Assets Historical Data,W.R Berkley ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.53B,$0.00B,2.60%
2020-09-30,$0.34B,$28.21B,1.25%
2020-06-30,$0.35B,$27.32B,1.32%
2020-03-31,$0.50B,$26.09B,1.89%
2019-12-31,$0.68B,$26.66B,2.60%
2019-09-30,$0.70B,$26.22B,2.69%
2019-06-30,$0.69B,$26.49B,2.72%
2019-03-31,$0.66B,$25.59B,2.62%
2018-12-31,$0.64B,$24.90B,2.59%
2018-09-30,$0.66B,$24.86B,2.70%
2018-06-30,$0.66B,$24.62B,2.71%
2018-03-31,$0.59B,$24.59B,2.44%
2017-12-31,$0.55B,$24.30B,2.28%
2017-09-30,$0.55B,$24.34B,2.30%
2017-06-30,$0.61B,$23.99B,2.57%
2017-03-31,$0.61B,$23.55B,2.60%
2016-12-31,$0.60B,$23.37B,2.62%
2016-09-30,$0.56B,$23.35B,2.48%
2016-06-30,$0.49B,$23.03B,2.22%
2016-03-31,$0.51B,$22.23B,2.32%
2015-12-31,$0.50B,$21.73B,2.32%
2015-09-30,$0.51B,$21.74B,2.32%
2015-06-30,$0.54B,$21.69B,2.48%
2015-03-31,$0.60B,$21.85B,2.75%
2014-12-31,$0.65B,$21.72B,3.03%
2014-09-30,$0.67B,$22.10B,3.17%
2014-06-30,$0.62B,$21.17B,2.98%
2014-03-31,$0.55B,$20.70B,2.70%
2013-12-31,$0.50B,$20.55B,2.46%
2013-09-30,$0.54B,$20.52B,2.64%
2013-06-30,$0.50B,$20.21B,2.48%
2013-03-31,$0.49B,$20.12B,2.47%
2012-12-31,$0.51B,$20.16B,2.59%
2012-09-30,$0.46B,$19.93B,2.40%
2012-06-30,$0.44B,$19.46B,2.32%
2012-03-31,$0.41B,$19.13B,2.21%
2011-12-31,$0.39B,$18.40B,2.14%
2011-09-30,$0.40B,$18.33B,2.21%
2011-06-30,$0.42B,$18.20B,2.33%
2011-03-31,$0.44B,$17.98B,2.51%
2010-12-31,$0.45B,$17.53B,2.55%
2010-09-30,$0.46B,$17.81B,2.62%
2010-06-30,$0.46B,$17.42B,2.66%
2010-03-31,$0.45B,$17.23B,2.61%
2009-12-31,$0.31B,$17.33B,1.83%
2009-09-30,$0.22B,$17.39B,1.30%
2009-06-30,$0.09B,$16.66B,0.54%
2009-03-31,$0.07B,$16.19B,0.44%
2008-12-31,$0.28B,$16.12B,1.70%
2008-09-30,$0.45B,$16.42B,2.68%
2008-06-30,$0.66B,$16.55B,3.92%
2008-03-31,$0.77B,$16.84B,4.57%
2007-12-31,$0.77B,$16.82B,4.60%
2007-09-30,$0.76B,$16.70B,4.62%
2007-06-30,$0.75B,$16.63B,4.67%
2007-03-31,$0.73B,$16.54B,4.65%
2006-12-31,$0.70B,$15.66B,4.64%
2006-09-30,$0.67B,$15.44B,4.56%
2006-06-30,$0.62B,$14.69B,4.35%
2006-03-31,$0.59B,$14.52B,4.27%
2005-12-31,$0.55B,$13.90B,4.15%
