Date,Shares
2020-12-31,187
2020-09-30,188
2020-06-30,188
2020-03-31,190
2019-12-31,194
2019-09-30,194
2019-06-30,193
2019-03-31,193
2018-12-31,192
2018-09-30,193
2018-06-30,193
2018-03-31,192
2017-12-31,194
2017-09-30,193
2017-06-30,193
2017-03-31,193
2016-12-31,193
2016-09-30,193
2016-06-30,193
2016-03-31,193
2015-12-31,195
2015-09-30,193
2015-06-30,195
2015-03-31,199
2014-12-31,200
2014-09-30,200
2014-06-30,200
2014-03-31,203
2013-12-31,211
2013-09-30,211
2013-06-30,212
2013-03-31,212
2012-12-31,215
2012-09-30,212
2012-06-30,215
2012-03-31,215
2011-12-31,219
2011-09-30,217
2011-06-30,222
2011-03-31,221
2010-12-31,233
2010-09-30,231
2010-06-30,236
2010-03-31,240
2009-12-31,250
2009-09-30,250
2009-06-30,249
2009-03-31,242
2008-12-31,260
2008-09-30,244
2008-06-30,261
2008-03-31,276
2007-12-31,295
2007-09-30,291
2007-06-30,306
2007-03-31,303
2006-12-31,303
2006-09-30,302
2006-06-30,304
2006-03-31,303
2005-12-31,301
2005-09-30,301
2005-06-30,300
2005-03-31,300
