Alleghany Price/Book Ratio Historical Data,Alleghany Price/Book Ratio Historical Data,Alleghany Price/Book Ratio Historical Data,Alleghany Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,660.75,,1.06
2020-12-31,603.69,$623.58,0.97
2020-09-30,520.45,$606.19,0.86
2020-06-30,489.14,$590.85,0.83
2020-03-31,552.35,$549.06,1.01
2019-12-31,783.37,$610.98,1.28
2019-09-30,781.6,$612.89,1.28
2019-06-30,667.31,$601.89,1.11
2019-03-31,599.99,$570.08,1.05
2018-12-31,610.69,$527.77,1.16
2018-09-30,639.31,$576.16,1.11
2018-06-30,563.32,$560.48,1.01
2018-03-31,601.99,$545.07,1.1
2017-12-31,574.34,$553.18,1.04
2017-09-30,533.8,$532.40,1.0
2017-06-30,573.1,$547.07,1.05
2017-03-31,592.24,$530.86,1.12
2016-12-31,585.93,$515.25,1.14
2016-09-30,505.87,$525.11,0.96
2016-06-30,529.53,$512.84,1.03
2016-03-31,478.1,$503.42,0.95
2015-12-31,460.49,$486.02,0.95
2015-09-30,451.03,$476.67,0.95
2015-06-30,451.66,$478.90,0.94
2015-03-31,469.23,$477.36,0.98
2014-12-31,446.59,$465.52,0.96
2014-09-30,402.9,$456.64,0.88
2014-06-30,422.14,$452.22,0.93
2014-03-31,392.52,$431.67,0.91
2013-12-31,385.37,$414.38,0.93
2013-09-30,394.71,$401.98,0.98
2013-06-30,369.33,$387.59,0.95
2013-03-31,381.48,$394.72,0.97
2012-12-31,323.18,$379.12,0.85
2012-09-30,332.36,$388.68,0.86
2012-06-30,327.36,$370.92,0.88
2012-03-31,317.09,$365.24,0.87
2011-12-31,274.88,$342.10,0.8
2011-09-30,277.97,$327.35,0.85
2011-06-30,320.96,$332.25,0.97
2011-03-31,318.91,$341.58,0.93
2010-12-31,295.19,$325.05,0.91
2010-09-30,291.97,$312.75,0.93
2010-06-30,282.6,$300.90,0.94
2010-03-31,280.19,$292.46,0.96
2009-12-31,265.93,$294.62,0.9
2009-09-30,249.6,$279.79,0.89
2009-06-30,261.11,$265.96,0.98
2009-03-31,260.95,$282.89,0.92
2008-12-31,271.71,$292.80,0.93
2008-09-30,351.68,$295.84,1.19
2008-06-30,319.94,$317.84,1.01
2008-03-31,329.04,$311.54,1.06
2007-12-31,387.33,$306.27,1.26
2007-09-30,391.19,$296.42,1.32
2007-06-30,391.67,$286.31,1.37
2007-03-31,359.97,$276.76,1.3
2006-12-31,350.34,$270.77,1.29
2006-09-30,278.47,$259.38,1.07
2006-06-30,266.28,$253.26,1.05
2006-03-31,278.94,$214.97,1.3
