Alleghany ROA - Return on Assets Historical Data,Alleghany ROA - Return on Assets Historical Data,Alleghany ROA - Return on Assets Historical Data,Alleghany ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.10B,$28.93B,0.37%
2020-09-30,$-0.03B,$28.45B,-0.09%
2020-06-30,$-0.06B,$27.62B,-0.23%
2020-03-31,$0.06B,$25.75B,0.21%
2019-12-31,$0.86B,$26.93B,3.25%
2019-09-30,$0.11B,$26.49B,0.43%
2019-06-30,$0.31B,$26.36B,1.19%
2019-03-31,$0.31B,$25.79B,1.21%
2018-12-31,$0.04B,$25.35B,0.16%
2018-09-30,$0.91B,$25.80B,3.57%
2018-06-30,$0.31B,$25.09B,1.21%
2018-03-31,$0.11B,$25.10B,0.45%
2017-12-31,$0.09B,$25.38B,0.36%
2017-09-30,$0.01B,$25.71B,0.03%
2017-06-30,$0.48B,$24.53B,1.98%
2017-03-31,$0.45B,$23.94B,1.89%
2016-12-31,$0.46B,$23.76B,1.93%
2016-09-30,$0.54B,$24.12B,2.32%
2016-06-30,$0.49B,$23.82B,2.08%
2016-03-31,$0.59B,$23.06B,2.53%
2015-12-31,$0.56B,$22.84B,2.39%
2015-09-30,$0.54B,$23.43B,2.30%
2015-06-30,$0.63B,$23.93B,2.66%
2015-03-31,$0.60B,$23.56B,2.53%
2014-12-31,$0.68B,$23.49B,2.87%
2014-09-30,$0.75B,$23.93B,3.15%
2014-06-30,$0.67B,$23.84B,2.86%
2014-03-31,$0.64B,$23.49B,2.74%
2013-12-31,$0.63B,$23.36B,2.72%
2013-09-30,$0.33B,$23.24B,1.44%
2013-06-30,$0.34B,$22.89B,1.50%
2013-03-31,$0.34B,$22.81B,1.48%
2012-12-31,$0.70B,$22.81B,3.12%
2012-09-30,$0.83B,$22.76B,4.53%
2012-06-30,$0.73B,$22.42B,5.09%
2012-03-31,$0.63B,$21.78B,6.12%
2011-12-31,$0.14B,$6.48B,2.20%
2011-09-30,$0.14B,$6.41B,2.19%
2011-06-30,$0.16B,$6.62B,2.45%
2011-03-31,$0.21B,$6.53B,3.29%
2010-12-31,$0.20B,$6.43B,3.13%
2010-09-30,$0.29B,$6.50B,4.65%
2010-06-30,$0.30B,$6.22B,4.89%
2010-03-31,$0.28B,$6.19B,4.55%
2009-12-31,$0.27B,$6.19B,4.30%
2009-09-30,$0.16B,$6.26B,2.66%
2009-06-30,$0.11B,$6.18B,1.74%
2009-03-31,$0.08B,$6.01B,1.22%
2008-12-31,$0.13B,$6.18B,1.93%
2008-09-30,$0.16B,$7.20B,2.23%
2008-06-30,$0.23B,$7.21B,3.29%
2008-03-31,$0.27B,$6.83B,4.07%
2007-12-31,$0.28B,$6.94B,4.31%
2007-09-30,$0.18B,$6.65B,2.88%
2007-06-30,$0.17B,$6.34B,2.66%
2007-03-31,$0.18B,$6.21B,2.90%
2006-12-31,$0.14B,$6.18B,2.24%
2006-09-30,$0.14B,$6.23B,2.26%
2006-06-30,$-0.01B,$6.19B,-0.08%
2006-03-31,$-0.05B,$5.88B,-0.85%
2005-12-31,$-0.05B,$5.80B,-0.87%
