"Zions Bancorporation, N.A Debt/Equity Ratio Historical Data","Zions Bancorporation, N.A Debt/Equity Ratio Historical Data","Zions Bancorporation, N.A Debt/Equity Ratio Historical Data","Zions Bancorporation, N.A Debt/Equity Ratio Historical Data"
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$73.59B,$7.89B,9.33
2020-09-30,$70.69B,$7.67B,9.22
2020-06-30,$68.87B,$7.58B,9.09
2020-03-31,$64.00B,$7.47B,8.57
2019-12-31,$61.82B,$7.35B,8.41
2019-09-30,$62.85B,$7.51B,8.37
2019-06-30,$62.47B,$7.60B,8.22
2019-03-31,$61.61B,$7.59B,8.12
2018-12-31,$61.17B,$7.58B,8.07
2018-09-30,$59.18B,$7.55B,7.84
2018-06-30,$58.84B,$7.62B,7.72
2018-03-31,$58.84B,$7.64B,7.7
2017-12-31,$58.61B,$7.68B,7.63
2017-09-30,$57.80B,$7.76B,7.45
2017-06-30,$57.70B,$7.75B,7.45
2017-03-31,$57.73B,$7.73B,7.47
2016-12-31,$55.61B,$7.63B,7.28
2016-09-30,$53.36B,$7.68B,6.95
2016-06-30,$52.02B,$7.63B,6.82
2016-03-31,$51.55B,$7.63B,6.76
2015-12-31,$52.16B,$7.51B,6.95
2015-09-30,$50.77B,$7.64B,6.65
2015-06-30,$50.84B,$7.53B,6.75
2015-03-31,$50.10B,$7.45B,6.72
2014-12-31,$49.84B,$7.37B,6.76
2014-09-30,$48.14B,$7.32B,6.57
2014-06-30,$48.41B,$6.70B,7.23
2014-03-31,$49.50B,$6.59B,7.52
2013-12-31,$49.57B,$6.47B,7.67
2013-09-30,$48.86B,$6.33B,7.72
2013-06-30,$48.04B,$6.86B,7.0
2013-03-31,$47.76B,$6.35B,7.52
2012-12-31,$49.46B,$6.05B,8.18
2012-09-30,$47.17B,$5.92B,7.97
2012-06-30,$46.92B,$6.49B,7.23
2012-03-31,$46.51B,$6.39B,7.28
2011-12-31,$46.17B,$6.98B,6.61
2011-09-30,$44.61B,$6.92B,6.45
2011-06-30,$44.45B,$6.91B,6.43
2011-03-31,$44.06B,$6.75B,6.53
2010-12-31,$44.39B,$6.65B,6.68
2010-09-30,$44.55B,$6.50B,6.86
2010-06-30,$45.73B,$6.42B,7.12
2010-03-31,$45.86B,$5.86B,7.83
2009-12-31,$45.41B,$5.71B,7.95
2009-09-30,$47.60B,$5.69B,8.36
2009-06-30,$47.01B,$5.76B,8.17
2009-03-31,$48.97B,$5.58B,8.78
2008-12-31,$48.56B,$6.53B,7.44
2008-09-30,$48.38B,$5.60B,8.65
2008-06-30,$49.33B,$5.30B,9.31
2008-03-31,$48.05B,$5.36B,8.97
2007-12-31,$47.66B,$5.29B,9.0
2007-09-30,$44.79B,$5.26B,8.52
2007-06-30,$43.47B,$5.23B,8.32
2007-03-31,$43.30B,$5.26B,8.23
2006-12-31,$41.98B,$4.99B,8.42
2006-09-30,$41.14B,$4.64B,8.86
2006-06-30,$40.70B,$4.45B,9.15
2006-03-31,$38.97B,$4.34B,8.97
2005-12-31,$38.54B,$4.24B,9.1
2005-09-30,$30.42B,$3.00B,10.14
2005-06-30,$29.94B,$2.94B,10.19
2005-03-31,$29.06B,$2.82B,10.3
