Date,EPS
2020-12-31,$1.63
2020-09-30,$1.01
2020-06-30,$0.34
2020-03-31,$0.04
2019-12-31,$0.96
2019-09-30,$1.17
2019-06-30,$0.99
2019-03-31,$1.04
2018-12-31,$1.06
2018-09-30,$1.04
2018-06-30,$0.89
2018-03-31,$1.09
2017-12-31,$0.54
2017-09-30,$0.72
2017-06-30,$0.73
2017-03-31,$0.61
2016-12-31,$0.60
2016-09-30,$0.57
2016-06-30,$0.44
2016-03-31,$0.38
2015-12-31,$0.43
2015-09-30,$0.41
2015-06-30,$-0.01
2015-03-31,$0.37
2014-12-31,$0.31
2014-09-30,$0.40
2014-06-30,$0.56
2014-03-31,$0.41
2013-12-31,$-0.32
2013-09-30,$1.12
2013-06-30,$0.30
2013-03-31,$0.48
2012-12-31,$0.19
2012-09-30,$0.34
2012-06-30,$0.30
2012-03-31,$0.14
2011-12-31,$0.24
2011-09-30,$0.35
2011-06-30,$0.16
2011-03-31,$0.08
2010-12-31,$-0.60
2010-09-30,$-0.47
2010-06-30,$-0.84
2010-03-31,$-0.57
2009-12-31,$-0.81
2009-09-30,$-1.43
2009-06-30,$-0.21
2009-03-31,$-7.47
2008-12-31,$-4.61
2008-09-30,$0.31
2008-06-30,$0.65
2008-03-31,$0.97
2007-12-31,$0.39
2007-09-30,$1.22
2007-06-30,$1.43
2007-03-31,$1.36
2006-12-31,$1.31
2006-09-30,$1.42
2006-06-30,$1.35
2006-03-31,$1.28
2005-12-31,$1.32
2005-09-30,$1.34
2005-06-30,$1.30
2005-03-31,$1.20
