"Zions Bancorporation, N.A ROA - Return on Assets Historical Data","Zions Bancorporation, N.A ROA - Return on Assets Historical Data","Zions Bancorporation, N.A ROA - Return on Assets Historical Data","Zions Bancorporation, N.A ROA - Return on Assets Historical Data"
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.51B,$81.48B,0.66%
2020-09-30,$0.40B,$78.36B,0.55%
2020-06-30,$0.45B,$76.45B,0.63%
2020-03-31,$0.58B,$71.47B,0.83%
2019-12-31,$0.78B,$69.17B,1.12%
2019-09-30,$0.83B,$70.36B,1.19%
2019-06-30,$0.83B,$70.07B,1.20%
2019-03-31,$0.82B,$69.20B,1.22%
2018-12-31,$0.85B,$68.75B,1.27%
2018-09-30,$0.75B,$66.73B,1.12%
2018-06-30,$0.69B,$66.46B,1.03%
2018-03-31,$0.65B,$66.48B,0.99%
2017-12-31,$0.55B,$66.29B,0.84%
2017-09-30,$0.56B,$65.56B,0.86%
2017-06-30,$0.52B,$65.45B,0.82%
2017-03-31,$0.46B,$65.46B,0.74%
2016-12-31,$0.41B,$63.24B,0.68%
2016-09-30,$0.38B,$61.04B,0.63%
2016-06-30,$0.34B,$59.64B,0.58%
2016-03-31,$0.25B,$59.18B,0.43%
2015-12-31,$0.25B,$59.67B,0.42%
2015-09-30,$0.23B,$58.41B,0.39%
2015-06-30,$0.22B,$58.37B,0.38%
2015-03-31,$0.33B,$57.56B,0.58%
2014-12-31,$0.33B,$57.21B,0.58%
2014-09-30,$0.20B,$55.46B,0.36%
2014-06-30,$0.33B,$55.11B,0.60%
2014-03-31,$0.28B,$56.08B,0.51%
2013-12-31,$0.29B,$56.03B,0.53%
2013-09-30,$0.39B,$55.19B,0.71%
2013-06-30,$0.24B,$54.91B,0.44%
2013-03-31,$0.24B,$54.11B,0.45%
2012-12-31,$0.18B,$55.51B,0.33%
2012-09-30,$0.19B,$53.09B,0.35%
2012-06-30,$0.19B,$53.41B,0.36%
2012-03-31,$0.16B,$52.90B,0.31%
2011-12-31,$0.15B,$53.15B,0.30%
2011-09-30,$-0.00B,$51.53B,0.00%
2011-06-30,$-0.15B,$51.36B,-0.29%
2011-03-31,$-0.31B,$50.81B,-0.60%
2010-12-31,$-0.41B,$51.04B,-0.80%
2010-09-30,$-0.48B,$51.05B,-0.93%
2010-06-30,$-0.58B,$52.15B,-1.11%
2010-03-31,$-0.47B,$51.71B,-0.90%
2009-12-31,$-1.23B,$51.12B,-2.33%
2009-09-30,$-1.56B,$53.30B,-2.89%
2009-06-30,$-1.34B,$52.77B,-2.48%
2009-03-31,$-1.25B,$54.55B,-2.29%
2008-12-31,$-0.29B,$55.09B,-0.54%
2008-09-30,$0.25B,$53.97B,0.46%
2008-06-30,$0.35B,$54.63B,0.66%
2008-03-31,$0.43B,$53.41B,0.85%
2007-12-31,$0.48B,$52.95B,0.96%
2007-09-30,$0.58B,$50.05B,1.20%
2007-06-30,$0.60B,$48.69B,1.27%
2007-03-31,$0.59B,$48.56B,1.27%
2006-12-31,$0.58B,$46.97B,1.28%
2006-09-30,$0.57B,$45.78B,1.28%
2006-06-30,$0.53B,$45.14B,1.30%
2006-03-31,$0.51B,$43.32B,1.33%
2005-12-31,$0.48B,$42.78B,1.36%
